Index,Quantity,Digikey Part Number,LCSC Part Number,Manufacturer Part Number,Description,Value,Footprint,Designator
1,1,296-12686-1-ND,C9846 ,TPS61041DBVR,IC LED DRIVER RGLTR DIM SOT23-5,,SOT-23-5,U2
2,1,LM339MX/NOPBCT-ND,C89046,,IC COMPARATOR QUAD LO PWR 14SOIC,,SOIC-14_150mil,U1
3,1,,C104352,,RES 470K 1/8W,470K,805,R10
4,2,587-4963-1-ND,C342803,UMK212BB7225MG-T,CAP CER 2.2UF 50V X7R 0805,2.2UF,805,C6 C7
5,4,,C76645,,CAP CER 1UF 50V X7R 0805,1UF,805,C1 C2 C3 C4
6,1,,C253451,,RES 22K 1/8W,22K,805,R11
7,5,A126361CT-ND,C156145,CRG0805F330K,RES SMD 330K OHM 1% 1/8W 0805,330K,805,R2 R4 R6 R8
8,1,478-7806-1-ND ,C455082,SD1206S040S2R0 ,Diode,,SOD-123,D5
9,4,RMCF0805JT47K0CT-ND,C304417,RMCF0805JT47K0,RES 47K OHM 5% 1/8W 0805,47K,805,R1 R3 R5 R7
10,1,587-2985-1-ND,C106836,TMK212BBJ106KG-T,CAP CER 10UF 16V X5R 0805,10UF,805,C5
11,1,399-7874-1-ND,C162300,C0603C220J1GACTU,CAP CER 22PF 100V C0G/NP0 0603,22PF,805,C8
12,1,587-1613-1-ND,C223252,CBC2518T100M,FIXED IND 10UH 680MA 468 MOHM,22UH,805,L2
13,1,CMP321609UD4R7MT,C139250,,FIXED IND 4.7UH 700mA,4.7UH,1206,L1
14,4,1993-1049-ND,,PT6KV-502A2020,5K Pot,,,
15,4,160-1987-ND,,LTR-323DB,SENSOR PHOTODIODE 900NM RADIAL,,,
16,1,,,lg0,PCB,,,
